
ip_morale|关 于 飞 行 坐 骑
ip_morale_text|玩 家 骑 乘 飞 行 坐 骑 时 ， 视 角 对 准 天 空 按 T进 入 飞 行 模 式 , 飞 行 坐 骑 飞 行 移 动 速 度 和 坐 骑 特 技 效 果 与 玩 家 骑 术 成 正 比 。按 下 V按 键 垂 直 上 升 ， 按 下 B按 键 垂 直 下 降 。 其 他 操 作 与 地 面 骑 马 无 异 。 接 近 地 面 自 动 退 出 飞 行 模 式 。
ip_economy|武 技 操 作
ip_economy_text|武 技 包 括 翻 滚 、 腿 类 、 近 战 类 、 弓 箭 类 、 盾 牌 类 ， 因 界 面 尚 未 能 制 作 请 查 看 MOD本 体 文 件 的 MOD介 绍 文 档 里 面 的 武 技 资 料 介 绍 表 。
ip_courtship|土 匪 流
ip_courtship_text|(1) 可 雇 佣 ： 海 寇 战 团 、 沙 漠 马 帮 、 绿 林 兄 弟 会 森 林 、 响 马 游 荡 部 落 、 雪 原 罪 犯 集 团 、 山 贼 大 军 作 为 战 斗 力 使 用 。^^（2） 可 进 入 匪 徒 营 地 与 进 行 雇 佣 匪 徒 、 销 赃 、 出 售 俘 虏 、 交 易 。非 土 匪 开 局 需 要 与 特 定 NPC对 话 并 且 完 成 任 务 ， 克 雷 斯 -雪 地 犯 罪 ； 罗 尔 夫 -绿 林 强 盗 ； 尼 扎 -沙 漠 强 盗 ； 贝 斯 图 尔 -响 马 ； 拉 蒙 -海 寇 ； 维 鲁 佳 酒 馆 的 黑 帮 教 父 罗 得 里 格 - 波 拉 冈 卡 -山 贼 ；
ip_politics|亡 灵 单 位 特 效
ip_politics_text|亡 灵 单 位 不 吃 不 喝 ， 只 需 要 少 量 的 装 备 维 护 费 ，任 劳 任 怨 ，不 影 响 士 气 ， 打 工 人 的 模 范 ， 身 为 资 本 家 ， 不 ！ 是 身 为 亡 灵 法 师 他 们 是 你 最 大 优 势 。 骷 髅 兵 可 以 减 少 百 分 之 50 的 远 程 伤 害 ，骷 髅 兵 死 亡 后 有 概 率 自 修 复 ， 自 修 复 效 果 为 变 成 降 级 兵 种 加 入 部 队 ， 概 率 与 自 身 等 级 有 关 。僵 尸 类 单 位 拥 有 远 超 出 其 他 单 位 强 骨 ， 但 进 场 战 斗 移 动 速 度 下 降 百 分 之 25。
ip_character_backgrounds|邪 教 徒 流 
ip_character_backgrounds_text|灵 感 来 源 "朱 红 之 恋 的 感 染 模 式 "和 "虚 与 实 "。 玩 家 将 扮 演 邪 教 徒 在 卡 拉 迪 亚 大 陆 上 传 教 ， 并 且 最 终 征 服 大 陆 。 邪 教 徒 模 式 玩 法 ： ^^1.邪 灵 点 主 要 通 过 献 祭 俘 虏 与 进 行 邪 教 相 关 活 动 获 得 。  献 祭 俘 虏 ， 获 得 邪 灵 点 ， 经 验 ， 并 且 将 俘 虏 根 据 等 级 自 动 转 换 为 对 应 的 "丧 尸 "兵 种 单 位 ; ^^2.邪 灵 点 可 用 于 召 唤 特 殊 单 位 ;  ^^3.自 动 传 教 ， 会 根 据 玩 家 ， 说 服 力 等 级 自 动 转 换 非 邪 教 系 类 兵 种 为 对 应 等 级 的 邪 教 系 兵 种 。 ^^4.战 场 胜 利 后 ， 可 每 日 一 次 复 活 敌 方 单 位 ， 由 高 等 级 到 低 等 级 ， 获 得 对 应 的 "丧 尸 "兵 种 单 位 ， 效 果 与 智 力 正 相 关 。 ^^5.邪 教 模 式 下 玩 家 将 会 获 得 ， 三 倍 上 线 单 位 数 量 ， 部 队 工 资 仅 正 常 标 准 的 二 分 之 一 。 ^^6.邪 教 徒 与 所 有 国 家 开 局 的 关 系 为 负 100。 ^^7.目 前 邪 教 玩 法 主 打 以 战 养 战 ， 烧 杀 掳 掠 。
ip_military_campaigns|玩 家 魔 法
ip_military_campaigns_text|玩 家 拥 有 魔 法 ，强 魔 对 魔 法 效 果 有 增 益 : ^^1.按 键 U "领 袖 魔 法 -亡 者 之 夜 "所 有 友 方 亡 灵 单 位 提 升 等 级 * 2 百 分 比 攻 击 力 、 移 动 速 度 、 攻 击 速 度 ， 10点 魔 力 消 耗 。 ^^2.按 键 Y 灵 魂 吞 噬 玩 家 每 次 使 用 近 战 武 器 杀 死 敌 人，回复敌人等级生命值，自 动 消 耗 1 点 魔 力。^^3.按 键 H "变 身 魔 法 -魔 神 之 力 ",提 升 玩 家 本 次 战 斗 的 攻 击 力 ， 移 动 速 度 ， 攻 击 速 度 ， 恢 复 玩 家 生 命 值 ,20点 魔 力 消 耗 。 ^^4.按 键 J "复 活 魔 法 -活 死 人 的 呼 声 "， 复 活 敌 方 尸 体 变 成 僵 尸 类 单 位 加 入 战 斗 ， 如 果 复 活 单 位 幸 存 ， 战 后 加 入 玩 家 部 队 ,魔 力 消 耗 30点 。 ^^5.按 键 K "复 活 魔 法 -邪 灵 再 生 "， 复 活 我 方 死 灵 单 位 加 入 战 斗 ， 如 果 复 活 单 位 幸 存 ， 战 后 加 入 玩 家 部 队 ,魔 力 消 耗 30点 。^^6.按 键 O "召 唤 魔 法 -骸 骨 巨 龙"，召 唤 一 只 强 大 的 骸 骨 巨 龙 玩 家 可 乘 坐 上 面，按 T 按 键 进 入 飞 行。^^7.所 有 魔 法 使 用 消 耗 间 隔 30秒。^^8.魔 力 值 每 日 根 据 智 力 自 动 恢 复 。
 
